OBJECTID,Área,NOME,REGIAO_ADM,AREA_PLANE,CODBAIRRO,CODRA,CODBNUM,LINK,RP,Cod_RP,CODBAIRRO_LONG,SHAPESTArea,SHAPESTLength
325,1705684.50390625,Paquetá                   ,PAQUETA                 ,1,013,21,13,Paqueta&area=013                                  ,Centro,1.1,13,1705684.50813242,24841.4266685599
326,4056402.76611328,Freguesia (Ilha)          ,ILHA DO GOVERNADOR      ,3,098,20,98,Freguesia (Ilha)          &area=98                ,Ilha do Governador,3.7,98,4056402.77195321,18303.5957174943
327,978046.54248047,Bancários                 ,ILHA DO GOVERNADOR      ,3,097,20,97,Bancários                 &area=97                ,Ilha do Governador,3.7,97,978046.542055589,7758.78128164379
328,18957422.1518555,Galeão                    ,ILHA DO GOVERNADOR      ,3,104,20,104,Galeão                    &area=104               ,Ilha do Governador,3.7,104,18957422.1531485,21510.0592195699
329,1672545.75097656,Tauá                      ,ILHA DO GOVERNADOR      ,3,101,20,101,Tauá                      &area=101               ,Ilha do Governador,3.7,101,1672545.75203606,8246.1096062245
330,1186409.43945313,Portuguesa                ,ILHA DO GOVERNADOR      ,3,103,20,103,Portuguesa                &area=103               ,Ilha do Governador,3.7,103,1186409.43554872,5101.52319800369
331,520557.46679688,Moneró                    ,ILHA DO GOVERNADOR      ,3,102,20,102,Moneró                    &area=102               ,Ilha do Governador,3.7,102,520557.473143154,3538.2853949305
333,3385308.03125,Vigário Geral             ,VIGARIO GERAL           ,3,048,31,48,Vigário Geral             &area=48                ,Penha,3.5,48,3385308.03265163,8077.08229741507
334,490102.43017578,Cocotá                    ,ILHA DO GOVERNADOR      ,3,096,20,96,Cocotá                    &area=96                ,Ilha do Governador,3.7,96,490102.424578946,4799.07169059722
335,1973968.44726563,Jardim América            ,VIGARIO GERAL           ,3,049,31,49,Jardim América            &area=49                ,Penha,3.5,49,1973968.44239217,6129.77759853952
336,1621126.18847656,Jardim Carioca            ,ILHA DO GOVERNADOR      ,3,100,20,100,Jardim Carioca            &area=100               ,Ilha do Governador,3.7,100,1621126.19052711,6150.87966995257
337,8311405.5546875,Pavuna                    ,PAVUNA                  ,3,114,25,114,Pavuna                    &area=114               ,Pavuna,3.6,114,8311405.55383157,18418.0569136249
338,3856801.06689453,Cordovil                  ,VIGARIO GERAL           ,3,046,31,46,Cordovil                  &area=46                ,Penha,3.5,46,3856801.07173916,13947.7037648179
339,3205882.07080078,Jardim Guanabara          ,ILHA DO GOVERNADOR      ,3,099,20,99,Jardim Guanabara          &area=99                ,Ilha do Governador,3.7,99,3205882.0617827,9028.40749925685
340,2197968.69482422,Parada de Lucas           ,VIGARIO GERAL           ,3,047,31,47,Parada de Lucas           &area=47                ,Penha,3.5,47,2197968.69428179,9216.70181349108
341,1517134.46630859,Parque Colúmbia           ,PAVUNA                  ,3,159,25,159,Parque Colúmbia           &area=159               ,Pavuna,3.6,159,1517134.46680792,6179.26932099742
342,379405.89892578,Praia da Bandeira         ,ILHA DO GOVERNADOR      ,3,095,20,95,Praia da Bandeira         &area=95                ,Ilha do Governador,3.7,95,379405.901239922,3423.22210542077
343,4623381.89599609,Penha Circular            ,PENHA                   ,3,044,11,44,Penha Circular            &area=44                ,Penha,3.5,44,4623381.90460947,16639.4005517347
345,2068686.08105469,Cacuia                    ,ILHA DO GOVERNADOR      ,3,093,20,93,Cacuia                    &area=93                ,Ilha do Governador,3.7,93,2068686.08157767,10232.332882129
346,7477839.76953125,Irajá                     ,IRAJA                   ,3,076,14,76,Irajá                     &area=76                ,Madureira,3.3,76,7477839.76804495,18435.9955415079
347,4345726.97900391,Anchieta                  ,ANCHIETA                ,3,107,22,107,Anchieta                  &area=107               ,Pavuna,3.6,107,4345726.98330951,11471.4188255766
348,1605524.3203125,Acari                     ,PAVUNA                  ,3,111,25,111,Acari                     &area=111               ,Pavuna,3.6,111,1605524.32140875,6408.77293698042
349,604129.77490234,Pitangueiras              ,ILHA DO GOVERNADOR      ,3,094,20,94,Pitangueiras              &area=94                ,Ilha do Governador,3.7,94,604129.776443952,3514.09148727609
350,1814831.70556641,Costa Barros              ,PAVUNA                  ,3,113,25,113,Costa Barros              &area=113               ,Pavuna,3.6,113,1814831.70685485,6638.99018733878
351,3522221.85253906,Brás de Pina              ,PENHA                   ,3,045,11,45,Brás de Pina              &area=45                ,Penha,3.5,45,3522221.84974767,12591.6102461781
352,5811323.13867188,Penha                     ,PENHA                   ,3,043,11,43,Penha                     &area=43                ,Penha,3.5,43,5811323.13686323,13667.7756635494
353,161117.78417969,Zumbi                     ,ILHA DO GOVERNADOR      ,3,092,20,92,Zumbi                     &area=92                ,Ilha do Governador,3.7,92,161117.784373847,2122.5213318647
354,861924.82275391,Ribeira                   ,ILHA DO GOVERNADOR      ,3,091,20,91,Ribeira                   &area=91                ,Ilha do Governador,3.7,91,861924.816900245,7050.03139696498
355,2511970.33837891,Coelho Neto               ,PAVUNA                  ,3,110,25,110,Coelho Neto               &area=110               ,Pavuna,3.6,110,2511970.33862807,7534.53860405236
356,3820007.67333984,Guadalupe                 ,ANCHIETA                ,3,106,22,106,Guadalupe                 &area=106               ,Pavuna,3.6,106,3820007.67151382,10384.2322039653
357,3905790.00732422,Parque Anchieta           ,ANCHIETA                ,3,108,22,108,Parque Anchieta           &area=108               ,Pavuna,3.6,108,3905790.00473337,13017.7350234293
358,1723864.33349609,Barros Filho              ,PAVUNA                  ,3,112,25,112,Barros Filho              &area=112               ,Pavuna,3.6,112,1723864.33214882,7194.15352355965
359,515209.05175781,Vista Alegre              ,IRAJA                   ,3,075,14,75,Vista Alegre              &area=75                ,Madureira,3.3,75,515209.053294379,3581.52616617477
360,2116869.79931641,Ricardo de Albuquerque    ,ANCHIETA                ,3,109,22,109,Ricardo de Albuquerque    &area=109               ,Pavuna,3.6,109,2116869.8017248,9196.69344876431
361,2261110.26855469,Colégio                   ,IRAJA                   ,3,077,14,77,Colégio                   &area=77                ,Madureira,3.3,77,2261110.26878355,7739.22176402813
362,1374847.05664063,Honório Gurgel            ,MADUREIRA               ,3,087,15,87,Honório Gurgel            &area=87                ,Madureira,3.3,87,1374847.05748645,6884.58416329801
363,3689833.24707031,Olaria                    ,RAMOS                   ,3,042,10,42,Olaria                    &area=42                ,Ramos,3.1,42,3689833.24085884,12230.9938729438
364,1435715.75537109,Vila da Penha             ,IRAJA                   ,3,074,14,74,Vila da Penha             &area=74                ,Madureira,3.3,74,1435715.75530553,6100.1624015046
365,4268761.30273438,Maré                      ,COMPLEXO DA MARE        ,3,157,30,157,Maré                      &area=157               ,Ramos,3.1,157,4268761.29951038,13082.6216980497
366,10756709.4238281,Vila Militar              ,REALENGO                ,5,135,33,135,Vila Militar              &area=135               ,Bangu,5.1,135,10756709.4246626,18076.9990682145
367,4690706.46972656,Cidade Universitária      ,ILHA DO GOVERNADOR      ,3,105,20,105,Cidade Universitária      &area=105               ,Ilha do Governador,3.7,105,4690706.47396707,22376.2214749049
368,2886705.52392578,Rocha Miranda             ,MADUREIRA               ,3,086,15,86,Rocha Miranda             &area=86                ,Madureira,3.3,86,2886705.5208468,9166.72336194333
369,2793533,Ramos                     ,RAMOS                   ,3,041,10,41,Ramos                     &area=41                ,Ramos,3.1,41,2793533.00147016,8911.69290383763
370,26054198.0688477,Realengo                  ,REALENGO                ,5,139,33,139,Realengo                  &area=139               ,Bangu,5.1,139,26054198.0660082,30896.8252874501
371,1519254.12988281,Vila Kosmos               ,IRAJA                   ,3,072,14,72,Vila Kosmos               &area=72                ,Madureira,3.3,72,1519254.13129773,6511.85806195114
372,3886225.66064453,Marechal Hermes           ,MADUREIRA               ,3,090,15,90,Marechal Hermes           &area=90                ,Madureira,3.3,90,3886225.66354266,11946.9688277188
373,1835710.64990234,Vicente de Carvalho       ,IRAJA                   ,3,073,14,73,Vicente de Carvalho       &area=73                ,Madureira,3.3,73,1835710.64752575,6753.00761228185
374,27417970.8330078,Paciência                 ,SANTA CRUZ              ,5,148,19,148,Paciência                 &area=148               ,Santa Cruz,5.3,148,27417970.8308443,34307.5661628113
375,2225644.96826172,Engenho da Rainha         ,INHAUMA                 ,3,055,12,55,Engenho da Rainha         &area=55                ,Inhaúma,3.4,55,2225644.97181123,9188.81033038585
376,2960855.18457031,Complexo do Alemão        ,COMPLEXO DO ALEMÃO      ,3,156,29,156,Complexo do Alemão        &area=156               ,Inhaúma,3.4,156,2960855.17907408,11998.4368583522
377,1101220.96240234,Vaz Lobo                  ,MADUREIRA               ,3,084,15,84,Vaz Lobo                  &area=84                ,Madureira,3.3,84,1101220.96205828,5030.56732214221
378,4865791.84277344,Padre Miguel              ,BANGU                   ,5,140,17,140,Padre Miguel              &area=140               ,Bangu,5.1,140,4865791.84439169,16274.188523306
379,3037846.62695313,Bento Ribeiro             ,MADUREIRA               ,3,089,15,89,Bento Ribeiro             &area=89                ,Madureira,3.3,89,3037846.62969799,8506.03605126633
380,1255809.62109375,Turiaçú                   ,MADUREIRA               ,3,085,15,85,Turiaçú                   &area=85                ,Madureira,3.3,85,1255809.62284177,5378.19256141085
381,2199716.17089844,Bonsucesso                ,RAMOS                   ,3,040,10,40,Bonsucesso                &area=40                ,Ramos,3.1,40,2199716.167418,8558.99470337437
382,3485274.29931641,Inhaúma                   ,INHAUMA                 ,3,054,12,54,Inhaúma                   &area=54                ,Inhaúma,3.4,54,3485274.30776424,13164.7959547045
383,1747526.48583984,Tomás Coelho              ,INHAUMA                 ,3,056,12,56,Tomás Coelho              &area=56                ,Inhaúma,3.4,56,1747526.48046018,8403.83792077989
384,8319614.02734375,Santíssimo                ,CAMPO GRANDE            ,5,143,18,143,Santíssimo                &area=143               ,Campo Grande,5.2,143,8319614.02948868,15804.0199542691
385,3787613.32128906,Madureira                 ,MADUREIRA               ,3,083,15,83,Madureira                 &area=83                ,Madureira,3.3,83,3787613.32099668,9574.36204049516
386,2071126.77880859,Osvaldo Cruz              ,MADUREIRA               ,3,088,15,88,Osvaldo Cruz              &area=88                ,Madureira,3.3,88,2071126.78024709,6942.73937529371
387,125044295.352051,Santa Cruz                ,SANTA CRUZ              ,5,149,19,149,Santa Cruz                &area=149               ,Santa Cruz,5.3,149,125044295.34643,65717.3913325024
388,1975949.31054688,Magalhães Bastos          ,REALENGO                ,5,138,33,138,Magalhães Bastos          &area=138               ,Bangu,5.1,138,1975949.31211357,6902.65471000863
389,16908604.956543,Senador Camará            ,BANGU                   ,5,142,17,142,Senador Camará            &area=142               ,Bangu,5.1,142,16908604.9476362,25798.2074664517
390,1924149.28466797,Cavalcanti                ,MADUREIRA               ,3,080,15,80,Cavalcanti                &area=80                ,Madureira,3.3,80,1924149.28455006,6248.03695079726
391,3252292.92871094,Campo dos Afonsos         ,REALENGO                ,5,136,33,136,Campo dos Afonsos         &area=136               ,Bangu,5.1,136,3252292.92729908,8075.65138511579
392,1157472.79248047,Higienópolis              ,INHAUMA                 ,3,050,12,50,Higienópolis              &area=50                ,Inhaúma,3.4,50,1157472.79486684,4944.38476828668
393,2618351.22753906,Manguinhos                ,RAMOS                   ,3,039,10,39,Manguinhos                &area=39                ,Ramos,3.1,39,2618351.226061,8090.39875347344
394,708274.3046875,Engenheiro Leal           ,MADUREIRA               ,3,081,15,81,Engenheiro Leal           &area=81                ,Madureira,3.3,81,708274.302118679,3785.02661409063
395,1836420.02978516,Pilares                   ,MEIER                   ,3,071,13,71,Pilares                   &area=71                ,Méier,3.2,71,1836420.03103947,6828.72954788578
396,1440914.46484375,Del Castilho              ,INHAUMA                 ,3,053,12,53,Del Castilho              &area=53                ,Inhaúma,3.4,53,1440914.46202426,5294.82106896993
397,3887100.34375,Piedade                   ,MEIER                   ,3,069,13,69,Piedade                   &area=69                ,Méier,3.2,69,3887100.34575314,12326.5319435946
398,2838970.70166016,Cascadura                 ,MADUREIRA               ,3,082,15,82,Cascadura                 &area=82                ,Madureira,3.3,82,2838970.70343614,9056.40401839889
399,4232214.78710938,Vila Valqueire            ,JACAREPAGUA             ,4,125,16,125,Vila Valqueire            &area=125               ,Jacarepaguá,4.1,125,4232214.78743172,9441.55718768559
400,824989.74072266,Maria da Graça            ,INHAUMA                 ,3,052,12,52,Maria da Graça            &area=52                ,Inhaúma,3.4,52,824989.740609403,4842.42951150006
401,4323794.68115234,Quintino Bocaiúva         ,MADUREIRA               ,3,079,15,79,Quintino Bocaiúva         &area=79                ,Madureira,3.3,79,4323794.68175783,11247.7200986666
402,7869204.28027344,Jardim Sulacap            ,REALENGO                ,5,137,33,137,Jardim Sulacap            &area=137               ,Bangu,5.1,137,7869204.2808213,14519.3088033019
403,984510.43115234,Campinho                  ,MADUREIRA               ,3,078,15,78,Campinho                  &area=78                ,Madureira,3.3,78,984510.430103307,4818.48266144781
404,616332.65332031,Abolição                  ,MEIER                   ,3,070,13,70,Abolição                  &area=70                ,Méier,3.2,70,616332.65384515,4930.77011791667
405,6441769.125,Senador Vasconcelos       ,CAMPO GRANDE            ,5,145,18,145,Senador Vasconcelos       &area=145               ,Campo Grande,5.2,145,6441769.13172061,12846.8079507318
406,11261318.8930664,Cosmos                    ,CAMPO GRANDE            ,5,147,18,147,Cosmos                    &area=147               ,Campo Grande,5.2,147,11261318.8882244,17686.7256071666
407,943874.10644531,Jacarezinho               ,JACAREZINHO             ,3,155,28,155,Jacarezinho               &area=155               ,Méier,3.2,155,943874.110928509,6319.10661745232
408,2250159.74560547,Cachambi                  ,MEIER                   ,3,065,13,65,Cachambi                  &area=65                ,Méier,3.2,65,2250159.74999588,8081.7454325121
409,6499977.50927734,Praça Seca                ,JACAREPAGUA             ,4,124,16,124,Praça Seca                &area=124               ,Jacarepaguá,4.1,124,6499977.50456591,11438.67292588
410,1736412.80761719,Benfica                   ,SAO CRISTOVAO           ,1,012,7,12,Benfica                   &area=12                ,Centro,1.1,12,1736412.80808415,9097.97824523236
411,3920440.57421875,Engenho de Dentro         ,MEIER                   ,3,066,13,66,Engenho de Dentro         &area=66                ,Méier,3.2,66,3920440.56978164,11905.9720150156
412,4105643.88916016,São Cristóvão             ,SAO CRISTOVAO           ,1,010,7,10,São Cristóvão             &area=10                ,Centro,1.1,10,4105643.88737085,14129.0657564394
413,863074.53808594,Vasco da Gama             ,SAO CRISTOVAO           ,1,158,7,158,Vasco da Gama             &area=158               ,Centro,1.1,158,863074.536890872,4349.97722950309
414,8287883.10449219,Inhoaíba                  ,CAMPO GRANDE            ,5,146,18,146,Inhoaíba                  &area=146               ,Campo Grande,5.2,146,8287883.10129333,15356.864232466
415,1012635.96728516,Todos os Santos           ,MEIER                   ,3,064,13,64,Todos os Santos           &area=64                ,Méier,3.2,64,1012635.96720278,6163.38019919905
416,842565.64208984,Jacaré                    ,MEIER                   ,3,051,13,51,Jacaré                    &area=51                ,Méier,3.2,51,842565.635256269,6809.02168186618
417,1060146.17480469,Encantado                 ,MEIER                   ,3,068,13,68,Encantado                 &area=68                ,Méier,3.2,68,1060146.17350128,5995.54673331236
418,1311625.60009766,Rocha                     ,MEIER                   ,3,058,13,58,Rocha                     &area=58                ,Méier,3.2,58,1311625.59988392,5717.93422582049
419,2470933.15234375,Méier                     ,MEIER                   ,3,063,13,63,Méier                     &area=63                ,Méier,3.2,63,2470933.14988417,9836.63836944701
420,1112902.74121094,Gamboa                    ,PORTUARIA               ,1,002,1,2,Gamboa                    &area=2                 ,Centro,1.1,2,1112902.74325068,4612.82741384605
421,1684720.66113281,Santo Cristo              ,PORTUARIA               ,1,003,1,3,Santo Cristo              &area=3                 ,Centro,1.1,3,1684720.65351489,6743.21880442408
422,5424739.1953125,Centro                    ,CENTRO                  ,1,005,2,5,Centro                    &area=5                 ,Centro,1.1,5,5424739.19427996,22846.2143055326
423,884408.47705078,Sampaio                   ,MEIER                   ,3,060,13,60,Sampaio                   &area=60                ,Méier,3.2,60,884408.477519313,5793.71418835495
424,928108.49707031,Riachuelo                 ,MEIER                   ,3,059,13,59,Riachuelo                 &area=59                ,Méier,3.2,59,928108.4970328,5342.52973823918
425,363817.62255859,Saúde                     ,PORTUARIA               ,1,001,1,1,Saúde                     &area=1                 ,Centro,1.1,1,363817.625497767,2646.21698637897
426,648907.60009766,São Francisco Xavier      ,MEIER                   ,3,057,13,57,São Francisco Xavier      &area=57                ,Méier,3.2,57,648907.602337572,5462.16704733374
427,2644847.10009766,Engenho Novo              ,MEIER                   ,3,061,13,61,Engenho Novo              &area=61                ,Méier,3.2,61,2644847.10389548,10595.6752393659
428,798128.92089844,Mangueira                 ,SAO CRISTOVAO           ,1,011,7,11,Mangueira                 &area=11                ,Centro,1.1,11,798128.92492763,4489.00342263
429,5567990.09863281,Tanque                    ,JACAREPAGUA             ,4,123,16,123,Tanque                    &area=123               ,Jacarepaguá,4.1,123,5567990.09811403,15382.4410178001
430,13206630.0966797,Taquara                   ,JACAREPAGUA             ,4,122,16,122,Taquara                   &area=122               ,Jacarepaguá,4.1,122,13206630.1043692,22254.6603679975
431,2426231.83935547,Água Santa                ,MEIER                   ,3,067,13,67,Água Santa                &area=67                ,Méier,3.2,67,2426231.84343697,6751.46065467778
432,2669197.55273438,Lins de Vasconcelos       ,MEIER                   ,3,062,13,62,Lins de Vasconcelos       &area=62                ,Méier,3.2,62,2669197.55347306,9532.63646704328
433,10328406.1118164,Freguesia (Jacarepaguá)   ,JACAREPAGUA             ,4,120,16,120,Freguesia (Jacarepaguá)   &area=120               ,Jacarepaguá,4.1,120,10328406.1132673,17756.7775539836
434,934852.88378906,Cidade Nova               ,RIO COMPRIDO            ,1,008,3,8,Cidade Nova               &area=8                 ,Centro,1.1,8,934852.884262343,4790.11015944081
435,719909.69824219,Praça da Bandeira         ,TIJUCA                  ,2,032,8,32,Praça da Bandeira         &area=32                ,Tijuca,2.2,32,719909.70027854,4727.30612152995
436,3217125.90039063,Vila Isabel               ,VILA ISABEL             ,2,036,9,36,Vila Isabel               &area=36                ,Tijuca,2.2,36,3217125.89512592,9014.56553650918
437,1667302.203125,Maracanã                  ,VILA ISABEL             ,2,035,9,35,Maracanã                  &area=35                ,Tijuca,2.2,35,1667302.20420568,8473.31547614566
438,1140065.48193359,Glória                    ,BOTAFOGO                ,2,016,4,16,Glória                    &area=16                ,Zona Sul,2.1,16,1140065.48603748,7225.23890703381
439,3342510.64160156,Rio Comprido              ,RIO COMPRIDO            ,1,007,3,7,Rio Comprido              &area=7                 ,Centro,1.1,7,3342510.64466514,12681.0617119545
440,5157128.51367188,Santa Teresa              ,SANTA TEREZA            ,1,014,23,14,Santa Teresa              &area=14                ,Centro,1.1,14,5157128.52061625,27344.8039965942
441,980400.66503906,Estácio                   ,RIO COMPRIDO            ,1,009,3,9,Estácio                   &area=9                 ,Centro,1.1,9,980400.665622731,5269.42559088944
442,10065558.4926758,Tijuca                    ,TIJUCA                  ,2,033,8,33,Tijuca                    &area=33                ,Tijuca,2.2,33,10065558.4979815,20628.8255717052
443,539458.44189453,Catumbi                   ,RIO COMPRIDO            ,1,006,3,6,Catumbi                   &area=6                 ,Centro,1.1,6,539458.43755381,5123.70530263785
444,5739104.51953125,Grajaú                    ,VILA ISABEL             ,2,038,9,38,Grajaú                    &area=38                ,Tijuca,2.2,38,5739104.521259,12833.7138036601
445,2830915.62158203,Pechincha                 ,JACAREPAGUA             ,4,121,16,121,Pechincha                 &area=121               ,Jacarepaguá,4.1,121,2830915.62101454,7817.20764497035
446,2261300.484375,Andaraí                   ,VILA ISABEL             ,2,037,9,37,Andaraí                   &area=37                ,Tijuca,2.2,37,2261300.48342231,9938.09892082508
447,681026.73291016,Catete                    ,BOTAFOGO                ,2,018,4,18,Catete                    &area=18                ,Zona Sul,2.1,18,681026.733625533,4260.14191189535
448,1646253.58740234,Flamengo                  ,BOTAFOGO                ,2,015,4,15,Flamengo                  &area=15                ,Zona Sul,2.1,15,1646253.58892809,6665.34040366695
449,2493507.37158203,Laranjeiras               ,BOTAFOGO                ,2,017,4,17,Laranjeiras               &area=17                ,Zona Sul,2.1,17,2493507.36752742,10537.1143694837
450,139501209.092773,Guaratiba                 ,GUARATIBA               ,5,151,26,151,Guaratiba                 &area=151               ,Guaratiba,5.4,151,139501209.071041,74738.7602158201
451,39380382.5219727,Vargem Grande             ,BARRA DA TIJUCA         ,4,131,24,131,Vargem Grande             &area=131               ,Barra da Tijuca,4.2,131,39380382.5259824,33697.2764553046
452,31495676.0087891,Alto da Boa Vista         ,TIJUCA                  ,2,034,8,34,Alto da Boa Vista         &area=34                ,Tijuca,2.2,34,31495675.9865263,43744.4112472154
453,892540.06591797,Cosme Velho               ,BOTAFOGO                ,2,019,4,19,Cosme Velho               &area=19                ,Zona Sul,2.1,19,892540.068553719,7889.67124202503
454,3339565.57861328,Curicica                  ,JACAREPAGUA             ,4,119,16,119,Curicica                  &area=119               ,Jacarepaguá,4.1,119,3339565.57172676,9985.67888706732
455,4798955.83154297,Botafogo                  ,BOTAFOGO                ,2,020,4,20,Botafogo                  &area=20                ,Zona Sul,2.1,20,4798955.8341389,12136.3757364602
456,2319001.83740234,Urca                      ,BOTAFOGO                ,2,022,4,22,Urca                      &area=22                ,Zona Sul,2.1,22,2319001.83585473,14138.5054761854
457,1273024.81640625,Cidade de Deus            ,CIDADE DE DEUS          ,4,118,34,118,Cidade de Deus            &area=118               ,Jacarepaguá,4.1,118,1273024.81576515,7243.92478952237
458,11621300.0146484,Sepetiba                  ,SANTA CRUZ              ,5,150,19,150,Sepetiba                  &area=150               ,Santa Cruz,5.3,150,11621300.0138321,21108.8212280627
459,3500410.67089844,Anil                      ,JACAREPAGUA             ,4,116,16,116,Anil                      &area=116               ,Jacarepaguá,4.1,116,3500410.66308618,10834.5918172156
460,75796482.3310547,Jacarepaguá               ,JACAREPAGUA             ,4,115,16,115,Jacarepaguá               &area=115               ,Jacarepaguá,4.1,115,75796482.3242524,73409.7063503146
461,8859905.68505859,Camorim                   ,BARRA DA TIJUCA         ,4,129,24,129,Camorim                   &area=129               ,Barra da Tijuca,4.2,129,8859905.67672244,17128.1620196598
462,1054475.31884766,Humaitá                   ,BOTAFOGO                ,2,021,4,21,Humaitá                   &area=21                ,Zona Sul,2.1,21,1054475.31827548,7100.8465685975
463,1236291.52294922,Gardênia Azul             ,JACAREPAGUA             ,4,117,16,117,Gardênia Azul             &area=117               ,Jacarepaguá,4.1,117,1236291.52611449,4618.10607191256
464,2689203.73388672,Jardim Botânico           ,LAGOA                   ,2,028,6,28,Jardim Botânico           &area=28                ,Zona Sul,2.1,28,2689203.72931638,12263.1154578925
465,14438294.6982422,Vargem Pequena            ,BARRA DA TIJUCA         ,4,130,24,130,Vargem Pequena            &area=130               ,Barra da Tijuca,4.2,130,14438294.699281,20648.925760839
466,4100850.171875,Copacabana                ,COPACABANA              ,2,024,5,24,Copacabana                &area=24                ,Zona Sul,2.1,24,4100850.16751869,12803.4992366022
467,977199.05126953,Leme                      ,COPACABANA              ,2,023,5,23,Leme                      &area=23                ,Zona Sul,2.1,23,977199.051651167,7045.32226637836
468,5109893.28710938,Lagoa                     ,LAGOA                   ,2,027,6,27,Lagoa                     &area=27                ,Zona Sul,2.1,27,5109893.2910815,10368.0396720533
469,13197726.2036133,Itanhangá                 ,BARRA DA TIJUCA         ,4,127,24,127,Itanhangá                 &area=127               ,Barra da Tijuca,4.2,127,13197726.2205899,20400.6447773549
470,2579636.59130859,Gávea                     ,LAGOA                   ,2,029,6,29,Gávea                     &area=29                ,Zona Sul,2.1,29,2579636.60356308,14268.5056801357
471,48150630.065918,Barra da Tijuca           ,BARRA DA TIJUCA         ,4,128,24,128,Barra da Tijuca           &area=128               ,Barra da Tijuca,4.2,128,48150630.0770987,47771.7958578484
472,2153095.9453125,Leblon                    ,LAGOA                   ,2,026,6,26,Leblon                    &area=26                ,Zona Sul,2.1,26,2153095.9343589,7188.66282520384
473,3084907.22021484,Ipanema                   ,LAGOA                   ,2,025,6,25,Ipanema                   &area=25                ,Zona Sul,2.1,25,3084907.20580273,23487.5271301672
474,6488565.79443359,São Conrado               ,LAGOA                   ,2,031,6,31,São Conrado               &area=31                ,Zona Sul,2.1,31,6488565.79912878,13311.8929554383
475,1437194.75585938,Rocinha                   ,ROCINHA                 ,2,154,27,154,Rocinha                   &area=154               ,Zona Sul,2.1,154,1437194.7548962,6120.74540214847
476,3636912.25195313,Pedra de Guaratiba        ,GUARATIBA               ,5,153,26,153,Pedra de Guaratiba        &area=153               ,Guaratiba,5.4,153,3636912.25637684,8804.32425593934
477,30655624.2368164,Recreio dos Bandeirantes  ,BARRA DA TIJUCA         ,4,132,24,132,Recreio dos Bandeirantes  &area=132               ,Barra da Tijuca,4.2,132,30655624.2379808,38561.2600421028
478,1621377.86816406,Vidigal                   ,LAGOA                   ,2,030,6,30,Vidigal                   &area=30                ,Zona Sul,2.1,30,1621377.86767146,7553.34450694263
479,1689691.29736328,Joá                       ,BARRA DA TIJUCA         ,4,126,24,126,Joá                       &area=126               ,Barra da Tijuca,4.2,126,1689691.29894169,8871.29461607156
480,9442030.42529297,Barra de Guaratiba        ,GUARATIBA               ,5,152,26,152,Barra de Guaratiba        &area=152               ,Guaratiba,5.4,152,9442030.42059555,27508.1871885797
481,9598826.27539063,Grumari                   ,BARRA DA TIJUCA         ,4,133,24,133,Grumari                   &area=133               ,Barra da Tijuca,4.2,133,9598826.25189153,23375.3430147052
482,5347480.57666016,Caju                      ,PORTUARIA               ,1,004,1,4,Caju                      &area=4                 ,Centro,1.1,4,5347480.57662831,19800.4959422639
483,4640511.10009766,Deodoro                   ,REALENGO                ,5,134,33,134,Deodoro                   &area=134               ,Bangu,5.1,134,4640511.0969712,12077.6477176741
485,298325.82470703,Lapa,CENTRO,1,161,2,161,Lapa                &area=161,Centro,1.1,161,298325.822759626,3849.17657463875
510,104445147.6875,Campo Grande,CAMPO GRANDE            ,5,144,18,144,Campo Grande                &area=144,Campo Grande,5.2,144,104445147.695031,75083.6521321309
511,35966196.7001953,Bangu,BANGU                   ,5,141,17,141,Bangu                &area=141,Bangu,5.1,141,35966196.7005389,46528.9731508311
512,2534304.16845703,Gericinó,BANGU                   ,5,160,17,160,Gericinó                &area=160,Bangu,5.1,160,2534304.16877133,8828.54376022267
513,327327.08300781,Jabour,BANGU,5,163,17,163,Jabour            &area=163,Bangu,5.1,163,327327.084421661,2235.74539977712
890,1473737.29589844,Vila Kennedy,BANGU                   ,5,162,17,162,Vila Kennedy                &area=162,Bangu,5.1,162,1473737.29279785,6789.60072357425
